,Shares Outstanding,Float Shares,Float Percentage,IO%,Insider%,Months Left,Accumulated Deficit,Net Working Capital
120,28040000.0,27226840.0,0.971,0.17,2.73,,,
121,19800000.0,18326880.0,0.9256,6.87,0.57,2.800053808175876,-174524983.0,1728762.0
122,68790000.0,61395075.0,0.8925,1.21,9.54,0.6905962453351566,-308136000.0,-12287000.0
123,65150000.0,63260650.0,0.971,0.17,2.73,0.28221872441689433,-172287288.0,-34291598.0
124,11380000.0,5569371.999999999,0.4893999999999999,0.49,50.57,5.2690182654556414,3488312.0,21306930.0
125,50830000.0,47063497.0,0.9259,4.6,2.81,0.5364156724745278,-25350392.0,-5166264.0
126,11380000.0,5569371.999999999,0.4893999999999999,0.49,50.57,5.2690182654556414,3488312.0,21306930.0
127,20090000.0,16945915.0,0.8435,0.24,15.41,1.3429668191618027,-248630000.0,-2868000.0
128,50610000.0,46859799.0,0.9259,4.6,2.81,0.5364156724745278,-25350392.0,-5166264.0
129,31630000.0,5190482.999999997,0.1640999999999999,83.2,0.39,4.2219591242318435,-169504981.0,5791444.0
130,18770000.0,8136795.0,0.4335,4.78,51.87,2.5015923993041618,-13883000.0,18934000.0
131,11620000.0,10781036.0,0.9278,0.41,6.81,0.0,-16092617.0,
132,20090000.0,16945915.0,0.8435,0.24,15.41,1.3429668191618027,-248630000.0,-2868000.0
133,84960000.0,70278912.0,0.8272,7.27,10.01,2.571367889071921,-301236913.0,22454928.0
134,13390000.0,2197298.9999999986,0.16409999999999988,83.2,0.39,6.25160797501605,-245717189.0,8333785.0
135,75680000.0,44681472.0,0.5904,17.35,23.61,12.182648401826484,-79000000.0,338000000.0
136,24260000.0,17023242.0,0.7017,24.78,5.05,5.322776610644258,-41112000.0,51548000.0
137,41730000.0,29215173.0,0.7001,13.55,16.44,0.25940142782820297,-193112232.0,-88621535.0
138,71400000.0,31387440.0,0.4396,41.49,14.55,5.158955974842766,-2352200000.0,653100000.0
139,4244000.0,3197005.2,0.7533,2.21,22.46,5.149220818490903,-162856000.0,109657000.0
140,122190000.0,99181623.0,0.8117,18.42,0.41,18.012779607741823,-235574000.0,86103000.0
141,24920000.0,17852688.0,0.7164,18.5,9.86,44.91226734348561,-168587000.0,21962000.0
142,47900000.0,40403650.0,0.8435,0.24,15.41,4.894632386107354,-208103000.0,29050000.0
143,16670000.0,14822964.0,0.8892,8.71,2.37,2.3474476829361244,-18408977.0,-10347083.0
144,54360000.0,45015516.0,0.8281,15.09,2.1,8.228564259389948,-260483000.0,59250000.0
145,30750000.0,12459900.0,0.4052,23.38,36.1,1.136809442012523,53871000.0,-15392000.0
146,109200000.0,97919640.0,0.8967,7.54,2.79,4.347069098022777,-116661000.0,8424000.0
147,86350000.0,68561900.0,0.794,19.89,0.71,10.03883024534436,-264716555.0,71792488.0
148,18090000.0,17044398.0,0.9422,4.66,1.12,7.540110407970919,-682800000.0,26906000.0
149,22520000.0,11255496.0,0.4998,0.06,49.96,18.2122664733435,33813386.0,-72665639.0
150,29180000.0,27093630.0,0.9285,0.89,6.26,0.0,-117218584.0,-9047717.0
151,33409999.0,14900859.553999998,0.446,39.81,15.59,2.219820185614849,307414000.0,131384000.0
152,27880000.0,14196496.000000002,0.5092000000000001,46.68,2.4,1.0944758590691606,-28408000.0,-102000.0
153,75680000.0,44681472.0,0.5904,17.35,23.61,12.182648401826484,-79000000.0,338000000.0
154,34210000.0,24833039.0,0.7259,26.1,1.31,6.938313785483597,-107159000.0,159297000.0
155,67170000.0,60231339.0,0.8967,3.64,6.69,5.0934483061260325,-127674000.0,1210000.0
156,35930000.0,30306955.0,0.8435,0.24,15.41,0.0,,88918000.0
157,50120000.0,46406108.0,0.9259,4.6,2.81,0.5364156724745278,-25350392.0,-5166264.0
158,153370000.0,137174128.0,0.8944,8.19,2.37,15.856473363072348,-413145000.0,28381000.0
159,29820000.0,6175721.999999997,0.20709999999999995,56.27,23.02,1.1968808009939342,126995000.0,151660000.0
160,44890000.0,22418066.0,0.4993999999999999,9.02,41.04,1.6872953911759885,-796806000.0,85001000.0
161,156980000.0,145646044.0,0.9278,4.42,2.8,5.243607006980049,-104597748.0,6773725.0
162,11620000.0,10753148.0,0.9254,0.24,7.22,0.0,-16092617.0,
163,310470000.0,236236623.0,0.7609,22.31,1.6,1.4144931379699002,-1080012000.0,113446000.0
164,126880000.0,63363871.99999999,0.4994,9.02,41.04,5.373307138091369,-102090292.0,6959666.0
165,156980000.0,145646044.0,0.9278,4.42,2.8,5.243607006980049,-104597748.0,6773725.0
166,242320000.0,123873984.00000004,0.5112000000000001,46.48,2.4,1.3811096718480138,1632200000.0,54100000.0
167,38270000.0,18821186.0,0.4918,12.35,38.47,2.766436183193688,-544010000.0,-41601000.0
168,57080000.0,35281148.00000001,0.6181000000000001,21.63,16.56,7.440647626784505,-213156521.0,69279584.0
169,44890000.0,22418066.0,0.4993999999999999,9.02,41.04,1.6872953911759885,-796806000.0,85001000.0
170,56780000.0,49398600.0,0.87,1.56,11.44,0.6905962453351566,-308136000.0,-12287000.0
171,86350000.0,68700060.0,0.7956,19.76,0.68,10.03883024534436,-264716555.0,71792488.0
172,44140000.0,42846698.0,0.9707,0.2,2.73,0.13201947014453982,-146194000.0,-29313000.0
173,153370000.0,137174128.0,0.8944,8.19,2.37,15.856473363072348,-413145000.0,28381000.0
174,6710000.0,4446717.0,0.6627,2.36,31.37,3.331103562407456,-236932000.0,3176000.0
175,147950000.0,134678885.0,0.9103,7.97,1.0,2.9074603308813165,-376177000.0,-41677000.0
176,24920000.0,18059524.0,0.7247,17.62,9.91,44.91226734348561,-168587000.0,21962000.0
177,19320000.0,15703296.0,0.8128,11.82,6.9,8.467427521972978,-417400000.0,19996000.0
178,19710000.0,18156852.0,0.9212,6.97,0.91,2.800053808175876,-174524983.0,1728762.0
179,29180000.0,26717208.0,0.9156,0.89,7.55,0.0,-117218584.0,-9047717.0
180,10740000.0,10479018.0,0.9757,0.2,2.23,33.08260348846228,-25880586.0,12505475.0
181,29180000.0,26717208.0,0.9156,0.89,7.55,0.0,-117218584.0,-9047717.0
182,41630000.0,36559466.0,0.8782,6.64,5.54,6.992947301181082,-263140660.0,17728557.0
183,80070000.0,24781665.0,0.3095,3.84,65.21,0.4435321179905573,-29361937.0,-1264368.0
184,53300000.0,27246960.000000004,0.5112000000000001,46.48,2.4,3.932397520495901,-122492000.0,4809000.0
185,10140000.0,7710456.0,0.7604,6.66,17.3,0.5811222046199758,-434221000.0,33472000.0
186,48230000.0,43156204.0,0.8948,10.35,0.17,7.450167307752447,-459893000.0,50652000.0
187,7103000.0,4442926.5,0.6255,9.54,27.91,51.104426559356135,-35111000.0,31110000.0
188,110080000.0,82141696.0,0.7462,17.58,7.8,1.4475432975360525,-362237000.0,9129000.0
189,84780000.0,52945110.00000001,0.6245,19.19,18.36,24.153994272134547,-486470000.0,93689000.0
190,111900000.0,80713470.0,0.7213,27.26,0.61,9.169777777777778,-406378000.0,-54747000.0
