,Market Capitalization,Current Liabilities,Shares,Cash,Operating Expenses,Current Ratio,PE Ratio,Earnings/Share,Debt/Equity,Debt,Current Debt,Interest Expense,Revenue,Price/Sales
283,45995102.0,8435398.0,79384021.0,9434524.0,5517679.0,1.8030000000000002,-0.966,-0.1,0.943,1928177.0,265936.0,0.0,1999116.0,15.085
284,48859603.0,5135000.0,49353134.0,11349000.0,8734000.0,2.716,-0.051,4.6,0.546,352000.0,352000.0,0.0,0.0,
285,56353540.0,83147000.0,31307522.0,1931000.0,44855000.0,0.647,-0.8140000000000001,-2.23,-4.638,16780000.0,16780000.0,225000.0,-14467000.0,0.439
286,54653191.0,24150235.0,15181442.0,28212635.0,11857568.0,2.077,-15.652000000000001,-0.06,1.046,21496903.0,920431.0,29198.0,13678372.0,1.15
287,69023206.0,6878000.0,16356210.0,2776000.0,6339000.0,0.583,-1.709,-0.38,-0.262,0.0,0.0,0.0,0.0,131.976
288,45995102.0,8435398.0,79384021.0,9434524.0,5517679.0,1.8030000000000002,-0.966,-0.1,0.943,1928177.0,265936.0,0.0,1999116.0,15.085
289,54134335.0,66642819.0,23233620.0,13394156.0,19484609.0,1.162,-1.207,-0.38,3.3539999999999996,74521447.0,54801334.0,2031697.0,220320323.0,0.065
290,45995102.0,8435398.0,79384021.0,9434524.0,5517679.0,1.8030000000000002,-0.966,-0.1,0.943,1928177.0,265936.0,0.0,1999116.0,15.085
291,73201213.0,8119000.0,55038506.0,26077000.0,8882000.0,3.321,-1.9,-0.22,0.431,0.0,0.0,0.0,25000.0,42.858000000000004
292,152137295.0,685002000.0,48297554.0,9798000.0,121506000.0,1.2429999999999999,-3.3160000000000003,-0.04,2.122,337374000.0,102247000.0,1904000.0,502292000.0,0.079
293,30072627.0,14456000.0,128077628.0,6272000.0,4459000.0,0.542,-0.978,-0.03,-3.9760000000000004,2013000.0,656000.0,0.0,4605000.0,3.384
