,Stock,Date
198,THMO,2020-08-13 09:30:00-04:00
199,BIOC,2020-08-13 09:30:00-04:00
200,WATT,2020-08-13 09:30:00-04:00
201,XSPA,2020-08-13 09:30:00-04:00
202,WORX,2020-08-13 09:30:00-04:00
203,MNPR,2020-08-12 09:30:00-04:00
204,BOXL,2020-08-12 09:30:00-04:00
205,AVCO,2020-08-12 09:30:00-04:00
206,BMRA,2020-08-12 09:30:00-04:00
207,EYEG,2020-08-12 09:30:00-04:00
208,VBLT,2020-08-12 09:30:00-04:00
209,KODK,2020-08-11 09:30:00-04:00
210,PRPH,2020-08-11 09:30:00-04:00
211,FBIO,2020-08-11 09:30:00-04:00
212,EYEN,2020-08-11 09:30:00-04:00
213,ETON,2020-08-11 09:30:00-04:00
214,IDEX,2020-08-10 09:30:00-04:00
215,HOTH,2020-08-10 09:30:00-04:00
216,ETON,2020-08-10 09:30:00-04:00
217,CEMI,2020-08-10 09:30:00-04:00
218,SNCR,2020-08-10 09:30:00-04:00
219,ACRX,2020-08-10 09:30:00-04:00
220,OPGN,2020-08-10 09:30:00-04:00
221,TRVN,2020-08-10 09:30:00-04:00
222,HBP,2020-08-07 09:30:00-04:00
223,ZSAN,2020-08-07 09:30:00-04:00
224,OPGN,2020-08-07 09:30:00-04:00
225,TRVN,2020-08-07 09:30:00-04:00
226,PRTY,2020-08-06 09:30:00-04:00
227,AVCT,2020-08-06 09:30:00-04:00
228,BIOC,2020-08-06 09:30:00-04:00
229,WLL,2020-08-05 09:30:00-04:00
230,RIOT,2020-08-05 09:30:00-04:00
231,IEA,2020-08-05 09:30:00-04:00
232,TTOO,2020-08-05 09:30:00-04:00
233,MVIS,2020-08-05 09:30:00-04:00
234,COCP,2020-08-04 09:30:00-04:00
235,BLNK,2020-08-04 09:30:00-04:00
236,BYFC,2020-08-04 09:30:00-04:00
237,JAKK,2020-08-03 09:30:00-04:00
238,IMUX,2020-08-03 09:30:00-04:00
239,CBAY,2020-08-03 09:30:00-04:00
240,KODK,2020-08-03 09:30:00-04:00
241,DTSS,2020-08-03 09:30:00-04:00
242,TYME,2020-08-03 09:30:00-04:00
243,ZVO,2020-08-03 09:30:00-04:00
244,HTBX,2020-08-03 09:30:00-04:00
245,TRVN,2020-08-03 09:30:00-04:00
246,HOTH,2020-07-31 09:30:00-04:00
247,CTSO,2020-07-31 09:30:00-04:00
248,ECOR,2020-07-31 09:30:00-04:00
249,FBIO,2020-07-31 09:30:00-04:00
250,GMBL,2020-07-31 09:30:00-04:00
251,MARK,2020-07-31 09:30:00-04:00
252,EDSA,2020-07-30 09:30:00-04:00
253,MRNS,2020-07-30 09:30:00-04:00
254,OSTK,2020-07-30 09:30:00-04:00
255,BLNK,2020-07-30 09:30:00-04:00
256,KODK,2020-07-30 09:30:00-04:00
257,TUP,2020-07-29 09:30:00-04:00
258,KODK,2020-07-29 09:30:00-04:00
259,HTBX,2020-07-29 09:30:00-04:00
260,BOXL,2020-07-28 09:30:00-04:00
261,SNGX,2020-07-28 09:30:00-04:00
262,KODK,2020-07-28 09:30:00-04:00
263,ECOR,2020-07-28 09:30:00-04:00
264,GNCA,2020-07-27 09:30:00-04:00
265,TCRR,2020-07-27 09:30:00-04:00
266,RIOT,2020-07-27 09:30:00-04:00
267,ONTX,2020-07-27 09:30:00-04:00
268,IDXG,2020-07-24 09:30:00-04:00
269,PTE,2020-07-24 09:30:00-04:00
270,MGEN,2020-07-24 09:30:00-04:00
271,LIVX,2020-07-23 09:30:00-04:00
272,CBAY,2020-07-23 09:30:00-04:00
273,BHTG,2020-07-22 09:30:00-04:00
274,BLNK,2020-07-22 09:30:00-04:00
275,WTRH,2020-07-22 09:30:00-04:00
276,GNCA,2020-07-22 09:30:00-04:00
277,OPGN,2020-07-21 09:30:00-04:00
278,CTIC,2020-07-21 09:30:00-04:00
279,TNXP,2020-07-21 09:30:00-04:00
280,ENZ,2020-07-21 09:30:00-04:00
281,MBRX,2020-07-21 09:30:00-04:00
282,BHTG,2020-07-21 09:30:00-04:00
283,HTBX,2020-07-21 09:30:00-04:00
284,TNXP,2020-07-20 09:30:00-04:00
285,BRQS,2020-07-20 09:30:00-04:00
286,CPIX,2020-07-20 09:30:00-04:00
287,VCNX,2020-07-20 09:30:00-04:00
288,HTBX,2020-07-20 09:30:00-04:00
289,RMBL,2020-07-20 09:30:00-04:00
290,HTBX,2020-07-17 09:30:00-04:00
291,CKPT,2020-07-17 09:30:00-04:00
292,BNED,2020-07-17 09:30:00-04:00
293,MVIS,2020-07-17 09:30:00-04:00
294,RMBL,2020-07-17 09:30:00-04:00
295,VCNX,2020-07-17 09:30:00-04:00
296,CTXR,2020-07-17 09:30:00-04:00
297,RRD,2020-07-16 09:30:00-04:00
298,BOXL,2020-07-16 09:30:00-04:00
299,FTFT,2020-07-16 09:30:00-04:00
300,MVIS,2020-07-16 09:30:00-04:00
301,WTRH,2020-07-15 09:30:00-04:00
302,PHUN,2020-07-15 09:30:00-04:00
303,IDEX,2020-07-15 09:30:00-04:00
304,CPTA,2020-07-15 09:30:00-04:00
305,CLSN,2020-07-15 09:30:00-04:00
306,VXRT,2020-07-15 09:30:00-04:00
307,LIVX,2020-07-14 09:30:00-04:00
308,BOXL,2020-07-14 09:30:00-04:00
309,PRCP,2020-07-14 09:30:00-04:00
310,TTOO,2020-07-14 09:30:00-04:00
311,INMB,2020-07-14 09:30:00-04:00
312,OSS,2020-07-13 09:30:00-04:00
313,WKHS,2020-07-13 09:30:00-04:00
314,SAVA,2020-07-13 09:30:00-04:00
315,EQ,2020-07-13 09:30:00-04:00
316,CIDM,2020-07-13 09:30:00-04:00
317,ENZ,2020-07-13 09:30:00-04:00
318,BOXL,2020-07-13 09:30:00-04:00
319,INMD,2020-07-13 09:30:00-04:00
320,ALT,2020-07-13 09:30:00-04:00
321,ECOR,2020-07-13 09:30:00-04:00
322,CJJD,2020-07-10 09:30:00-04:00
323,JAKK,2020-07-10 09:30:00-04:00
324,ANIX,2020-07-10 09:30:00-04:00
325,BGFV,2020-07-09 09:30:00-04:00
326,ALT,2020-07-09 09:30:00-04:00
327,AESE,2020-07-09 09:30:00-04:00
328,OTIC,2020-07-09 09:30:00-04:00
329,CLSK,2020-07-09 09:30:00-04:00
330,OTLK,2020-07-09 09:30:00-04:00
331,CRVS,2020-07-08 09:30:00-04:00
332,ABEO,2020-07-08 09:30:00-04:00
333,HOTH,2020-07-08 09:30:00-04:00
334,PRTY,2020-07-08 09:30:00-04:00
335,COCP,2020-07-08 09:30:00-04:00
336,GMBL,2020-07-07 09:30:00-04:00
337,CRVS,2020-07-07 09:30:00-04:00
338,ALDX,2020-07-07 09:30:00-04:00
339,VXRT,2020-07-07 09:30:00-04:00
340,POLA,2020-07-06 09:30:00-04:00
341,BLNK,2020-07-06 09:30:00-04:00
342,BYFC,2020-07-06 09:30:00-04:00
343,TTOO,2020-07-06 09:30:00-04:00
344,WTRH,2020-07-06 09:30:00-04:00
345,IDXG,2020-07-02 09:30:00-04:00
346,MMLP,2020-07-02 09:30:00-04:00
347,XERS,2020-07-02 09:30:00-04:00
348,POLA,2020-07-02 09:30:00-04:00
349,VERO,2020-07-02 09:30:00-04:00
350,YRCW,2020-07-01 09:30:00-04:00
351,BYFC,2020-07-01 09:30:00-04:00
352,TTOO,2020-07-01 09:30:00-04:00
353,BLNK,2020-06-30 09:30:00-04:00
354,WKHS,2020-06-30 09:30:00-04:00
355,POLA,2020-06-30 09:30:00-04:00
356,BYFC,2020-06-30 09:30:00-04:00
357,UONE,2020-06-30 09:30:00-04:00
358,BHTG,2020-06-30 09:30:00-04:00
359,HOTH,2020-06-30 09:30:00-04:00
360,SALM,2020-06-30 09:30:00-04:00
361,QUMU,2020-06-30 09:30:00-04:00
362,CLSK,2020-06-29 09:30:00-04:00
363,VXRT,2020-06-29 09:30:00-04:00
364,WKHS,2020-06-29 09:30:00-04:00
365,IDEX,2020-06-29 09:30:00-04:00
366,BLNK,2020-06-29 09:30:00-04:00
367,ITRM,2020-06-29 09:30:00-04:00
368,PHUN,2020-06-29 09:30:00-04:00
369,BHTG,2020-06-29 09:30:00-04:00
370,XSPA,2020-06-29 09:30:00-04:00
371,ALT,2020-06-29 09:30:00-04:00
372,APTX,2020-06-26 09:30:00-04:00
373,PHUN,2020-06-26 09:30:00-04:00
374,SNGX,2020-06-26 09:30:00-04:00
375,CTXR,2020-06-26 09:30:00-04:00
376,UTSI,2020-06-26 09:30:00-04:00
377,EKSO,2020-06-26 09:30:00-04:00
378,VXRT,2020-06-26 09:30:00-04:00
379,JAKK,2020-06-25 09:30:00-04:00
380,AVCO,2020-06-25 09:30:00-04:00
381,EKSO,2020-06-25 09:30:00-04:00
382,SNGX,2020-06-24 09:30:00-04:00
383,UONE,2020-06-23 09:30:00-04:00
384,VBLT,2020-06-22 09:30:00-04:00
385,MVIS,2020-06-22 09:30:00-04:00
386,ALPN,2020-06-22 09:30:00-04:00
387,IDEX,2020-06-22 09:30:00-04:00
388,CIDM,2020-06-22 09:30:00-04:00
389,GRNQ,2020-06-22 09:30:00-04:00
390,EVOK,2020-06-22 09:30:00-04:00
391,BYFC,2020-06-22 09:30:00-04:00
392,OVID,2020-06-19 09:30:00-04:00
393,AEMD,2020-06-19 09:30:00-04:00
394,IDEX,2020-06-19 09:30:00-04:00
395,SALM,2020-06-19 09:30:00-04:00
396,BYFC,2020-06-19 09:30:00-04:00
397,ALPN,2020-06-19 09:30:00-04:00
398,CIDM,2020-06-19 09:30:00-04:00
399,UONE,2020-06-19 09:30:00-04:00
400,ALPN,2020-06-18 09:30:00-04:00
401,IDEX,2020-06-18 09:30:00-04:00
402,BRQS,2020-06-18 09:30:00-04:00
403,AEMD,2020-06-18 09:30:00-04:00
404,SELB,2020-06-18 09:30:00-04:00
405,ORN,2020-06-18 09:30:00-04:00
406,OESX,2020-06-18 09:30:00-04:00
407,AESE,2020-06-18 09:30:00-04:00
408,LIVX,2020-06-18 09:30:00-04:00
409,IMAC,2020-06-17 09:30:00-04:00
410,UONE,2020-06-17 09:30:00-04:00
411,MGEN,2020-06-17 09:30:00-04:00
412,WATT,2020-06-17 09:30:00-04:00
413,SALM,2020-06-17 09:30:00-04:00
414,BYFC,2020-06-17 09:30:00-04:00
415,WTER,2020-06-17 09:30:00-04:00
416,ACRS,2020-06-17 09:30:00-04:00
417,MKGI,2020-06-16 09:30:00-04:00
418,PHUN,2020-06-16 09:30:00-04:00
419,UONE,2020-06-16 09:30:00-04:00
420,JAKK,2020-06-16 09:30:00-04:00
421,BMRA,2020-06-16 09:30:00-04:00
422,CLDX,2020-06-16 09:30:00-04:00
423,CLSK,2020-06-16 09:30:00-04:00
424,HEAR,2020-06-16 09:30:00-04:00
425,GRNQ,2020-06-16 09:30:00-04:00
426,COCP,2020-06-16 09:30:00-04:00
427,SAVA,2020-06-16 09:30:00-04:00
428,HGSH,2020-06-15 09:30:00-04:00
429,CIDM,2020-06-15 09:30:00-04:00
430,BHTG,2020-06-15 09:30:00-04:00
431,EDSA,2020-06-15 09:30:00-04:00
432,TTOO,2020-06-12 09:30:00-04:00
433,QEP,2020-06-12 09:30:00-04:00
434,PRTY,2020-06-12 09:30:00-04:00
435,PHUN,2020-06-12 09:30:00-04:00
436,WLL,2020-06-12 09:30:00-04:00
437,BRQS,2020-06-12 09:30:00-04:00
438,XSPA,2020-06-12 09:30:00-04:00
439,BLNK,2020-06-11 09:30:00-04:00
440,THMO,2020-06-11 09:30:00-04:00
441,XSPA,2020-06-11 09:30:00-04:00
442,GRNQ,2020-06-11 09:30:00-04:00
443,LIVX,2020-06-10 09:30:00-04:00
444,CIDM,2020-06-10 09:30:00-04:00
445,CRIS,2020-06-10 09:30:00-04:00
446,AVCT,2020-06-10 09:30:00-04:00
447,EYES,2020-06-09 09:30:00-04:00
448,OPGN,2020-06-09 09:30:00-04:00
449,ENG,2020-06-09 09:30:00-04:00
450,WLL,2020-06-08 09:30:00-04:00
451,KLXE,2020-06-08 09:30:00-04:00
452,ENOB,2020-06-08 09:30:00-04:00
453,QEP,2020-06-08 09:30:00-04:00
454,IO,2020-06-08 09:30:00-04:00
455,EYES,2020-06-08 09:30:00-04:00
456,EVFM,2020-06-08 09:30:00-04:00
457,CIDM,2020-06-08 09:30:00-04:00
458,AVCO,2020-06-08 09:30:00-04:00
459,PRTY,2020-06-08 09:30:00-04:00
460,AHT,2020-06-08 09:30:00-04:00
461,TTOO,2020-06-05 09:30:00-04:00
462,PRTY,2020-06-05 09:30:00-04:00
463,XSPA,2020-06-05 09:30:00-04:00
464,QEP,2020-06-05 09:30:00-04:00
465,ALDX,2020-06-04 09:30:00-04:00
466,LUB,2020-06-04 09:30:00-04:00
467,XSPA,2020-06-04 09:30:00-04:00
468,LIVX,2020-06-04 09:30:00-04:00
469,CIDM,2020-06-04 09:30:00-04:00
470,OPGN,2020-06-03 09:30:00-04:00
471,SAVA,2020-06-03 09:30:00-04:00
472,RNWK,2020-06-03 09:30:00-04:00
473,BHTG,2020-06-02 09:30:00-04:00
474,TRVN,2020-06-02 09:30:00-04:00
475,MGI,2020-06-02 09:30:00-04:00
476,IDRA,2020-06-02 09:30:00-04:00
477,ANIX,2020-06-01 09:30:00-04:00
478,PTI,2020-06-01 09:30:00-04:00
479,ALT,2020-06-01 09:30:00-04:00
480,CTIC,2020-06-01 09:30:00-04:00
481,AESE,2020-06-01 09:30:00-04:00
482,AVEO,2020-05-29 09:30:00-04:00
483,CLSN,2020-05-29 09:30:00-04:00
484,PRTY,2020-05-29 09:30:00-04:00
485,CERC,2020-05-28 09:30:00-04:00
486,PHUN,2020-05-27 09:30:00-04:00
487,MARK,2020-05-27 09:30:00-04:00
488,IMBI,2020-05-27 09:30:00-04:00
489,SEAC,2020-05-27 09:30:00-04:00
490,GRNQ,2020-05-27 09:30:00-04:00
491,MARK,2020-05-26 09:30:00-04:00
492,EVFM,2020-05-26 09:30:00-04:00
493,SAVA,2020-05-26 09:30:00-04:00
494,XSPA,2020-05-22 09:30:00-04:00
495,PHUN,2020-05-22 09:30:00-04:00
496,PHUN,2020-05-21 09:30:00-04:00
497,CLSK,2020-05-21 09:30:00-04:00
498,CIDM,2020-05-21 09:30:00-04:00
499,ALDX,2020-05-20 09:30:00-04:00
500,EVOK,2020-05-20 09:30:00-04:00
501,HOTH,2020-05-20 09:30:00-04:00
502,VXRT,2020-05-20 09:30:00-04:00
503,SURF,2020-05-20 09:30:00-04:00
504,WATT,2020-05-19 09:30:00-04:00
505,HOTH,2020-05-19 09:30:00-04:00
506,CEMI,2020-05-18 09:30:00-04:00
507,SAVA,2020-05-18 09:30:00-04:00
508,RNWK,2020-05-18 09:30:00-04:00
509,PSTI,2020-05-14 09:30:00-04:00
510,GMBL,2020-05-13 09:30:00-04:00
511,CBAY,2020-05-12 09:30:00-04:00
512,MARK,2020-05-12 09:30:00-04:00
513,RIOT,2020-05-12 09:30:00-04:00
514,YRCW,2020-05-12 09:30:00-04:00
515,BLPH,2020-05-11 09:30:00-04:00
516,PSTI,2020-05-08 09:30:00-04:00
517,VUZI,2020-05-08 09:30:00-04:00
518,FBIO,2020-05-08 09:30:00-04:00
519,BMRA,2020-05-07 09:30:00-04:00
520,WTRH,2020-05-07 09:30:00-04:00
521,VUZI,2020-05-07 09:30:00-04:00
522,OVID,2020-05-07 09:30:00-04:00
523,IO,2020-05-07 09:30:00-04:00
524,MVIS,2020-05-05 09:30:00-04:00
525,GNPX,2020-05-05 09:30:00-04:00
526,CLSK,2020-05-05 09:30:00-04:00
