,Failure Rate,Average Dump,Average Success,# Dumps,Splits
85,0.3333333333333333,-0.020987654320987648,0.03561436444013802,3,1.0
86,0.5833333333333334,-0.10245483112490104,0.052761090813247445,12,1.0
87,0.9375,-0.15327224457733057,0.05571030640668529,16,0.0005
88,0.6,-0.04794198763945983,0.16426495020530815,10,1.0
89,0.6888888888888889,-0.13825827764338877,0.19369777457352882,45,1.0
90,0.6666666666666666,-0.08413689844454758,0.17374478449222416,9,1.0
91,,,,0,
92,0.7333333333333333,-0.10163861628960297,0.1273460082372152,60,0.0011111111111111111
93,0.75,-0.10680461094149002,0.12452306202109856,28,1.0
94,1.0,-0.06146542379039412,,7,1.0
95,0.64,-0.10778365277691526,0.2505384433291021,25,0.16667
96,0.2,-0.06216600272055972,0.11454665395656731,10,1.0
97,0.47058823529411764,-0.1090671958191419,0.1818718464089707,17,1.0
98,0.5625,-0.11159660569427282,0.08663735281803826,16,0.007352941176470588
99,0.6666666666666666,-0.08593766624094949,0.038111888111888,6,1.0
100,0.7777777777777778,-0.16519728606168455,0.8187830687830688,9,1.0
101,0.75,-0.2084660093009838,0.28801169590643283,4,1.0
102,0.4444444444444444,-0.027153076402913236,0.033688271530162815,9,4.0
103,1.0,-0.07701088555457491,,2,1.0
104,0.4444444444444444,-0.1030047732404235,0.1267599281919551,27,0.1
105,1.0,-0.10333079148060474,,8,1.0
106,0.7619047619047619,-0.14146522723059315,0.1600515350590653,21,0.0025
107,0.9375,-0.15327224457733057,0.05571030640668529,16,0.0005
108,0.7142857142857143,-0.0937806043424884,0.1425549623407165,63,0.125
109,0.8181818181818182,-0.16672615782423547,0.42078081232493,11,1.0
110,0.7142857142857143,-0.12424917345048175,0.21880291446558423,35,0.002
111,0.7777777777777778,-0.16519728606168455,0.8187830687830688,9,1.0
112,0.7373737373737373,-0.07247891668945472,0.13093266559735622,99,8.333500000000001e-05
113,0.9166666666666666,-0.07855745626230336,0.029610168288006708,12,1.0
114,0.5294117647058824,-0.08867261968979856,0.15386300813014422,17,1.0
115,0.6818181818181818,-0.13463476813973385,0.19369777457352882,44,1.0
116,0.7333333333333333,-0.10163861628960297,0.1273460082372152,60,0.0011111111111111111
117,0.7333333333333333,-0.09521537598057571,0.11179058441558438,15,0.002
118,0.6896551724137931,-0.10602508794018836,0.47971802570693245,29,3.000000000000003
119,0.5714285714285714,-0.10739450055082081,0.49257719403280764,7,1.0
120,0.6483516483516484,-0.11291140876932088,0.09888197981070183,91,2.1599999999999997
121,0.7142857142857143,-0.12424917345048175,0.21880291446558423,35,0.002
122,0.8064516129032258,-0.12645555474187917,0.09578052224317257,31,0.016666666666666666
123,0.7142857142857143,-0.09900214655354368,0.11179058441558438,14,0.002
124,0.5714285714285714,-0.10739450055082081,0.49257719403280764,7,1.0
125,0.75,-0.10680461094149002,0.12452306202109856,28,1.0
126,0.5714285714285714,-0.10739450055082081,0.49257719403280764,7,1.0
127,0.75,-0.1184392237873784,0.07997655477031293,12,1.0
128,0.75,-0.10680461094149002,0.12452306202109856,28,1.0
129,0.6111111111111112,-0.06282585884454074,0.2654470752413948,18,0.0004
130,0.6363636363636364,-0.06498693085814988,0.1442319677568911,11,1.0
131,1.0,-0.10806994282900449,,4,0.06666666666666667
132,0.75,-0.1184392237873784,0.07997655477031293,12,1.0
133,0.5,-0.08789473684210522,0.05454545454545439,4,4.0
134,0.7333333333333333,-0.10163861628960297,0.1273460082372152,60,0.0011111111111111111
135,0.6666666666666666,-0.17718511737419382,0.404837603081573,9,1.0
136,0.6842105263157895,-0.11791236844538118,0.382978115950602,19,1.0
137,0.8,-0.11893830544940198,0.1359990018209892,25,0.002026666666666667
